pigeon_number,pigeon_name,week_number,home_abbr,away_abbr,picked_home,predicted_margin,created_at,home_score,away_score,status
1,Pay Dirt,1,PHI,DAL,True,8,2025-10-11 20:24:24.743591+00:00,24,20,final
1,Pay Dirt,1,LAC,KC,False,6,2025-10-11 20:24:24.752414+00:00,27,21,final
1,Pay Dirt,1,ATL,TB,True,2,2025-10-11 20:24:24.756140+00:00,20,23,final
1,Pay Dirt,1,CLE,CIN,True,3,2025-10-11 20:24:24.759768+00:00,16,17,final
1,Pay Dirt,1,IND,MIA,True,3,2025-10-11 20:24:24.763795+00:00,33,8,final
1,Pay Dirt,1,NE,LV,False,3,2025-10-11 20:24:24.771175+00:00,13,20,final
1,Pay Dirt,1,NO,ARI,False,13,2025-10-11 20:24:24.774508+00:00,13,20,final
1,Pay Dirt,1,NYJ,PIT,False,3,2025-10-11 20:24:24.778400+00:00,32,34,final
1,Pay Dirt,1,WSH,NYG,True,4,2025-10-11 20:24:24.781828+00:00,21,6,final
1,Pay Dirt,1,JAX,CAR,True,5,2025-10-11 20:24:24.767739+00:00,26,10,final
1,Pay Dirt,1,DEN,TEN,True,14,2025-10-11 20:24:24.785524+00:00,20,12,final
1,Pay Dirt,1,SEA,SF,False,3,2025-10-11 20:24:24.789061+00:00,13,17,final
1,Pay Dirt,1,GB,DET,False,3,2025-10-11 20:24:24.792917+00:00,27,13,final
1,Pay Dirt,1,LAR,HOU,False,2,2025-10-11 20:24:24.796340+00:00,14,9,final
1,Pay Dirt,1,BUF,BAL,True,2,2025-10-11 20:24:24.799658+00:00,41,40,final
1,Pay Dirt,1,CHI,MIN,True,3,2025-10-11 20:24:24.803362+00:00,24,27,final
1,Pay Dirt,2,GB,WSH,True,6,2025-10-11 20:24:24.812545+00:00,27,18,final
1,Pay Dirt,2,CIN,JAX,True,8,2025-10-11 20:24:24.819902+00:00,31,27,final
1,Pay Dirt,2,DAL,NYG,True,7,2025-10-11 20:24:24.824774+00:00,40,37,final
1,Pay Dirt,2,DET,CHI,True,7,2025-10-11 20:24:24.828720+00:00,52,21,final
1,Pay Dirt,2,TEN,LAR,False,3,2025-10-11 20:24:24.847673+00:00,19,33,final
1,Pay Dirt,2,MIA,NE,True,4,2025-10-11 20:24:24.832048+00:00,27,33,final
1,Pay Dirt,2,NO,SF,False,5,2025-10-11 20:24:24.836606+00:00,21,26,final
1,Pay Dirt,2,NYJ,BUF,False,4,2025-10-11 20:24:24.840766+00:00,10,30,final
1,Pay Dirt,2,PIT,SEA,True,6,2025-10-11 20:24:24.844125+00:00,17,31,final
1,Pay Dirt,2,BAL,CLE,True,16,2025-10-11 20:24:24.816046+00:00,41,17,final
1,Pay Dirt,2,IND,DEN,True,2,2025-10-11 20:24:24.856024+00:00,29,28,final
1,Pay Dirt,2,ARI,CAR,True,9,2025-10-11 20:24:24.851877+00:00,27,22,final
1,Pay Dirt,2,KC,PHI,False,3,2025-10-11 20:24:24.859390+00:00,17,20,final
1,Pay Dirt,2,MIN,ATL,True,5,2025-10-11 20:24:24.862697+00:00,6,22,final
1,Pay Dirt,2,HOU,TB,False,2,2025-10-11 20:24:24.866376+00:00,19,20,final
1,Pay Dirt,2,LV,LAC,True,2,2025-10-11 20:24:24.871200+00:00,9,20,final
1,Pay Dirt,3,BUF,MIA,True,20,2025-10-11 20:24:24.879759+00:00,31,21,final
1,Pay Dirt,3,CLE,GB,False,6,2025-10-11 20:24:24.888721+00:00,13,10,final
1,Pay Dirt,3,TEN,IND,False,7,2025-10-11 20:24:24.912646+00:00,20,41,final
1,Pay Dirt,3,MIN,CIN,True,3,2025-10-11 20:24:24.895901+00:00,48,10,final
1,Pay Dirt,3,NE,PIT,True,3,2025-10-11 20:24:24.899486+00:00,14,21,final
1,Pay Dirt,3,PHI,LAR,True,3,2025-10-11 20:24:24.904769+00:00,33,26,final
1,Pay Dirt,3,TB,NYJ,True,6,2025-10-11 20:24:24.909185+00:00,29,27,final
1,Pay Dirt,3,WSH,LV,True,3,2025-10-11 20:24:24.916570+00:00,41,24,final
1,Pay Dirt,3,CAR,ATL,False,10,2025-10-11 20:24:24.883530+00:00,30,0,final
1,Pay Dirt,3,JAX,HOU,True,3,2025-10-11 20:24:24.892249+00:00,17,10,final
1,Pay Dirt,3,LAC,DEN,True,7,2025-10-11 20:24:24.921172+00:00,23,20,final
1,Pay Dirt,3,SEA,NO,True,10,2025-10-11 20:24:24.924751+00:00,44,13,final
1,Pay Dirt,3,CHI,DAL,False,6,2025-10-11 20:24:24.928245+00:00,31,14,final
1,Pay Dirt,3,SF,ARI,True,5,2025-10-11 20:24:24.931872+00:00,16,15,final
1,Pay Dirt,3,NYG,KC,False,10,2025-10-11 20:24:24.935719+00:00,9,22,final
1,Pay Dirt,3,BAL,DET,True,8,2025-10-11 20:24:24.939312+00:00,30,38,final
1,Pay Dirt,4,ARI,SEA,False,6,2025-10-11 20:24:24.948867+00:00,20,23,final
1,Pay Dirt,4,PIT,MIN,False,4,2025-10-11 20:24:24.952573+00:00,24,21,final
1,Pay Dirt,4,ATL,WSH,True,3,2025-10-11 20:24:24.956123+00:00,34,27,final
1,Pay Dirt,4,BUF,NO,True,20,2025-10-11 20:24:24.959435+00:00,31,19,final
1,Pay Dirt,4,DET,CLE,True,10,2025-10-11 20:24:24.963543+00:00,34,10,final
1,Pay Dirt,4,NE,CAR,True,4,2025-10-11 20:24:24.972088+00:00,42,13,final
1,Pay Dirt,4,NYG,LAC,False,6,2025-10-11 20:24:24.975443+00:00,21,18,final
1,Pay Dirt,4,TB,PHI,False,4,2025-10-11 20:24:24.979529+00:00,25,31,final
1,Pay Dirt,4,HOU,TEN,True,7,2025-10-11 20:24:24.967106+00:00,26,0,final
1,Pay Dirt,4,LAR,IND,True,4,2025-10-11 20:24:24.982843+00:00,27,20,final
1,Pay Dirt,4,SF,JAX,True,5,2025-10-11 20:24:24.988084+00:00,21,26,final
1,Pay Dirt,4,KC,BAL,True,2,2025-10-11 20:24:24.991696+00:00,37,20,final
1,Pay Dirt,4,LV,CHI,True,2,2025-10-11 20:24:24.996324+00:00,24,25,final
1,Pay Dirt,4,DAL,GB,False,6,2025-10-11 20:24:24.999720+00:00,40,40,final
1,Pay Dirt,4,MIA,NYJ,True,7,2025-10-11 20:24:25.004741+00:00,27,21,final
1,Pay Dirt,4,DEN,CIN,True,6,2025-10-11 20:24:25.008340+00:00,28,3,final
1,Pay Dirt,5,LAR,SF,True,10,2025-10-11 20:24:25.017844+00:00,23,26,final
1,Pay Dirt,5,CLE,MIN,True,2,2025-10-11 20:24:25.021557+00:00,17,21,final
1,Pay Dirt,5,IND,LV,True,10,2025-10-11 20:24:25.034183+00:00,40,6,final
1,Pay Dirt,5,NO,NYG,True,3,2025-10-11 20:24:25.038501+00:00,26,14,final
1,Pay Dirt,5,NYJ,DAL,False,3,2025-10-11 20:24:25.042967+00:00,22,37,final
1,Pay Dirt,5,PHI,DEN,True,6,2025-10-11 20:24:25.046772+00:00,17,21,final
1,Pay Dirt,5,CAR,MIA,True,3,2025-10-11 20:24:25.029812+00:00,27,24,final
1,Pay Dirt,5,BAL,HOU,False,2,2025-10-11 20:24:25.025928+00:00,10,44,final
1,Pay Dirt,5,ARI,TEN,True,7,2025-10-11 20:24:25.050636+00:00,21,22,final
1,Pay Dirt,5,SEA,TB,True,5,2025-10-11 20:24:25.055175+00:00,35,38,final
1,Pay Dirt,5,CIN,DET,False,10,2025-10-11 20:24:25.058807+00:00,24,37,final
1,Pay Dirt,5,LAC,WSH,True,7,2025-10-11 20:24:25.062254+00:00,10,27,final
1,Pay Dirt,5,BUF,NE,True,10,2025-10-11 20:24:25.065797+00:00,20,23,final
1,Pay Dirt,5,JAX,KC,False,5,2025-10-11 20:24:25.077020+00:00,31,28,final
1,Pay Dirt,6,NYG,PHI,False,7,2025-10-11 20:24:25.086848+00:00,34,17,final
1,Pay Dirt,6,NYJ,DEN,False,8,2025-10-11 20:24:25.091327+00:00,11,13,final
1,Pay Dirt,6,IND,ARI,True,10,2025-10-11 20:24:25.104361+00:00,31,27,final
1,Pay Dirt,6,MIA,LAC,False,6,2025-10-11 20:24:25.111742+00:00,27,29,final
1,Pay Dirt,6,NO,NE,False,5,2025-10-11 20:24:25.131167+00:00,19,25,final
1,Pay Dirt,6,PIT,CLE,True,4,2025-10-11 20:24:25.115369+00:00,23,9,final
1,Pay Dirt,6,CAR,DAL,False,4,2025-10-11 20:24:25.099267+00:00,30,27,final
1,Pay Dirt,6,JAX,SEA,True,4,2025-10-11 20:24:25.108058+00:00,12,20,final
1,Pay Dirt,6,BAL,LAR,False,7,2025-10-11 20:24:25.095617+00:00,3,17,final
1,Pay Dirt,6,LV,TEN,True,6,2025-10-11 20:24:25.123860+00:00,20,10,final
1,Pay Dirt,6,GB,CIN,True,15,2025-10-11 20:24:25.127449+00:00,27,18,final
1,Pay Dirt,6,TB,SF,True,4,2025-10-11 20:24:25.120148+00:00,30,19,final
1,Pay Dirt,6,KC,DET,False,3,2025-10-11 20:24:25.136013+00:00,30,17,final
1,Pay Dirt,6,ATL,BUF,False,3,2025-10-11 20:24:25.139674+00:00,24,14,final
1,Pay Dirt,6,WSH,CHI,True,6,2025-10-11 20:24:25.143330+00:00,24,25,final
1,Pay Dirt,7,CIN,PIT,False,3,2025-10-15 17:54:06.680023+00:00,33,31,final
1,Pay Dirt,7,JAX,LAR,False,4,2025-10-15 17:54:06.713652+00:00,7,35,final
1,Pay Dirt,7,CHI,NO,True,9,2025-10-15 17:54:06.718584+00:00,26,14,final
1,Pay Dirt,7,CLE,MIA,True,3,2025-10-15 17:54:06.723286+00:00,31,6,final
1,Pay Dirt,7,TEN,NE,False,13,2025-10-15 17:54:06.741013+00:00,13,31,final
1,Pay Dirt,7,KC,LV,True,8,2025-10-15 17:54:06.727621+00:00,31,0,final
1,Pay Dirt,7,MIN,PHI,False,3,2025-10-15 17:54:06.731864+00:00,22,28,final
1,Pay Dirt,7,NYJ,CAR,False,7,2025-10-15 17:54:06.736747+00:00,6,13,final
1,Pay Dirt,7,DEN,NYG,True,8,2025-10-15 17:54:06.745095+00:00,33,32,final
1,Pay Dirt,7,LAC,IND,False,3,2025-10-15 17:54:06.749174+00:00,24,38,final
1,Pay Dirt,7,DAL,WSH,True,4,2025-10-15 17:54:06.757983+00:00,44,22,final
1,Pay Dirt,7,ARI,GB,False,10,2025-10-15 17:54:06.753735+00:00,23,27,final
1,Pay Dirt,7,SF,ATL,False,3,2025-10-15 17:54:06.761977+00:00,20,10,final
1,Pay Dirt,7,DET,TB,True,6,2025-10-15 17:54:06.766242+00:00,24,9,final
1,Pay Dirt,7,SEA,HOU,True,3,2025-10-15 17:54:06.770499+00:00,27,19,final
1,Pay Dirt,8,LAC,MIN,True,3,2025-12-31 18:55:59.023347+00:00,37,10,final
1,Pay Dirt,8,ATL,MIA,True,10,2025-12-31 18:55:59.036352+00:00,10,34,final
1,Pay Dirt,8,CIN,NYJ,True,6,2025-12-31 18:55:59.050908+00:00,38,39,final
1,Pay Dirt,8,NE,CLE,True,7,2025-12-31 18:55:59.060148+00:00,32,13,final
1,Pay Dirt,8,PHI,NYG,True,5,2025-12-31 18:55:59.064481+00:00,38,20,final
1,Pay Dirt,8,CAR,BUF,False,3,2025-12-31 18:55:59.046356+00:00,9,40,final
1,Pay Dirt,8,BAL,CHI,False,2,2025-12-31 18:55:59.041642+00:00,30,16,final
1,Pay Dirt,8,HOU,SF,False,2,2025-12-31 18:55:59.055343+00:00,26,15,final
1,Pay Dirt,8,NO,TB,False,6,2025-12-31 18:55:59.068421+00:00,3,23,final
1,Pay Dirt,8,DEN,DAL,False,2,2025-12-31 18:55:59.073235+00:00,44,24,final
1,Pay Dirt,8,IND,TEN,True,12,2025-12-31 18:55:59.077479+00:00,38,14,final
1,Pay Dirt,8,PIT,GB,False,6,2025-12-31 18:55:59.081560+00:00,25,35,final
1,Pay Dirt,8,KC,WSH,True,14,2025-12-31 18:55:59.085517+00:00,28,7,final
1,Pay Dirt,9,MIA,BAL,False,5,2025-10-29 16:54:43.163575+00:00,6,28,final
1,Pay Dirt,9,CIN,CHI,False,5,2025-10-29 16:54:43.177997+00:00,42,47,final
1,Pay Dirt,9,DET,MIN,True,16,2025-10-29 16:54:43.183310+00:00,24,27,final
1,Pay Dirt,9,GB,CAR,True,13,2025-10-29 16:54:43.187846+00:00,13,16,final
1,Pay Dirt,9,TEN,LAC,False,10,2025-10-29 16:54:43.209878+00:00,20,27,final
1,Pay Dirt,9,NE,ATL,True,9,2025-10-29 16:54:43.196996+00:00,24,23,final
1,Pay Dirt,9,NYG,SF,False,4,2025-10-29 16:54:43.201325+00:00,24,34,final
1,Pay Dirt,9,PIT,IND,False,6,2025-10-29 16:54:43.205575+00:00,27,20,final
1,Pay Dirt,9,HOU,DEN,False,3,2025-10-29 16:54:43.192238+00:00,15,18,final
1,Pay Dirt,9,LV,JAX,False,4,2025-10-29 16:54:43.218780+00:00,29,30,final
1,Pay Dirt,9,LAR,NO,True,12,2025-10-29 16:54:43.214413+00:00,34,10,final
1,Pay Dirt,9,BUF,KC,False,3,2025-10-29 16:54:43.223416+00:00,28,21,final
1,Pay Dirt,9,WSH,SEA,False,3,2025-10-29 16:54:43.229184+00:00,14,38,final
1,Pay Dirt,9,DAL,ARI,True,7,2025-10-29 16:54:43.233301+00:00,17,27,final
1,Pay Dirt,10,DEN,LV,True,10,2025-11-05 19:07:05.109640+00:00,10,7,final
1,Pay Dirt,10,IND,ATL,True,6,2025-11-05 19:07:05.126394+00:00,31,25,final
1,Pay Dirt,10,CHI,NYG,True,6,2025-11-05 19:07:05.135158+00:00,24,20,final
1,Pay Dirt,10,MIA,BUF,False,10,2025-11-05 19:07:05.144471+00:00,30,13,final
1,Pay Dirt,10,MIN,BAL,False,4,2025-11-05 19:07:05.148679+00:00,19,27,final
1,Pay Dirt,10,NYJ,CLE,False,3,2025-11-05 19:07:05.152779+00:00,27,20,final
1,Pay Dirt,10,TB,NE,True,3,2025-11-05 19:07:05.158079+00:00,23,28,final
1,Pay Dirt,10,CAR,NO,True,4,2025-11-05 19:07:05.130798+00:00,7,17,final
1,Pay Dirt,10,HOU,JAX,True,3,2025-11-05 19:07:05.140124+00:00,36,29,final
1,Pay Dirt,10,SEA,ARI,True,9,2025-11-05 19:07:05.162162+00:00,44,22,final
1,Pay Dirt,10,SF,LAR,False,4,2025-11-05 19:07:05.166313+00:00,26,42,final
1,Pay Dirt,10,WSH,DET,False,10,2025-11-05 19:07:05.171380+00:00,22,44,final
1,Pay Dirt,10,LAC,PIT,True,3,2025-11-05 19:07:05.176323+00:00,25,10,final
1,Pay Dirt,10,GB,PHI,True,4,2025-11-05 19:07:05.180419+00:00,7,10,final
1,Pay Dirt,11,NE,NYJ,True,9,2025-12-31 18:56:55.689528+00:00,27,14,final
1,Pay Dirt,11,MIA,WSH,True,3,2025-12-31 18:56:55.699048+00:00,16,13,final
1,Pay Dirt,11,ATL,CAR,True,5,2025-12-31 18:56:55.704058+00:00,27,30,final
1,Pay Dirt,11,BUF,TB,True,6,2025-12-31 18:56:55.707989+00:00,44,32,final
1,Pay Dirt,11,TEN,HOU,False,6,2025-12-31 18:56:55.728315+00:00,13,16,final
1,Pay Dirt,11,MIN,CHI,True,5,2025-12-31 18:56:55.715999+00:00,17,19,final
1,Pay Dirt,11,NYG,GB,False,6,2025-12-31 18:56:55.720066+00:00,20,27,final
1,Pay Dirt,11,PIT,CIN,True,5,2025-12-31 18:56:55.724154+00:00,34,12,final
1,Pay Dirt,11,JAX,LAC,False,6,2025-12-31 18:56:55.712063+00:00,35,6,final
1,Pay Dirt,11,LAR,SEA,True,4,2025-12-31 18:56:55.736960+00:00,21,19,final
1,Pay Dirt,11,ARI,SF,False,3,2025-12-31 18:56:55.732780+00:00,22,41,final
1,Pay Dirt,11,CLE,BAL,False,6,2025-12-31 18:56:55.741494+00:00,16,23,final
1,Pay Dirt,11,DEN,KC,False,4,2025-12-31 18:56:55.745281+00:00,22,19,final
1,Pay Dirt,11,PHI,DET,False,3,2025-12-31 18:56:55.748782+00:00,16,9,final
1,Pay Dirt,11,LV,DAL,False,6,2025-12-31 18:56:55.752574+00:00,16,33,final
1,Pay Dirt,12,HOU,BUF,False,5,2025-12-31 18:57:44.602977+00:00,23,19,final
1,Pay Dirt,12,CHI,PIT,True,4,2025-12-31 18:57:44.616378+00:00,31,28,final
1,Pay Dirt,12,CIN,NE,False,6,2025-12-31 18:57:44.620665+00:00,20,26,final
